"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20220101","7호선","뚝섬유원지","3864","3658","20220104",""
"20220101","7호선","건대입구","6113","6462","20220104",""
"20220101","7호선","어린이대공원(세종대)","4664","4507","20220104",""
"20220101","7호선","군자(능동)","5938","4709","20220104",""
"20220101","7호선","중곡","3969","3847","20220104",""
"20220101","2호선","아현","3624","3682","20220104",""
"20220101","7호선","용마산(용마폭포공원)","2554","2749","20220104",""
"20220101","7호선","사가정","6932","6677","20220104",""
"20220101","7호선","면목","6160","6241","20220104",""
"20220101","7호선","상봉(시외버스터미널)","7178","6724","20220104",""
"20220101","7호선","중화","4220","4206","20220104",""
"20220101","7호선","먹골","4191","4164","20220104",""
"20220101","7호선","태릉입구","3370","3161","20220104",""
"20220101","7호선","공릉(서울과학기술대)","4812","4860","20220104",""
"20220101","7호선","하계","6656","6447","20220104",""
"20220101","7호선","중계","5003","4677","20220104",""
"20220101","7호선","노원","7963","8076","20220104",""
"20220101","7호선","마들","5163","5126","20220104",""
"20220101","7호선","수락산","5660","5453","20220104",""
"20220101","7호선","도봉산","3393","5082","20220104",""
"20220101","7호선","장암","726","529","20220104",""
"20220101","6호선","봉화산(서울의료원)","2943","2985","20220104",""
"20220101","6호선","화랑대(서울여대입구)","3640","3191","20220104",""
"20220101","6호선","태릉입구","2249","2439","20220104",""
"20220101","6호선","석계","5057","5057","20220104",""
"20220101","6호선","돌곶이","3505","3169","20220104",""
"20220101","6호선","상월곡(한국과학기술연구원)","2265","1980","20220104",""
"20220101","6호선","월곡(동덕여대)","4090","4232","20220104",""
"20220101","6호선","고려대(종암)","2874","2802","20220104",""
"20220101","6호선","안암(고대병원앞)","3170","3182","20220104",""
"20220101","6호선","보문","2841","2727","20220104",""
"20220101","6호선","창신","1309","1104","20220104",""
"20220101","6호선","동묘앞","4065","3980","20220104",""
"20220101","6호선","신당","3539","3001","20220104",""
"20220101","6호선","청구","1258","1237","20220104",""
"20220101","6호선","약수","1197","1206","20220104",""
"20220101","6호선","버티고개","782","870","20220104",""
"20220101","6호선","한강진","5417","6074","20220104",""
"20220101","6호선","이태원","7952","7914","20220104",""
"20220101","6호선","녹사평(용산구청)","2710","2610","20220104",""
"20220101","6호선","삼각지","2519","1941","20220104",""
"20220101","6호선","효창공원앞","2388","2105","20220104",""
"20220101","6호선","공덕","5045","4766","20220104",""
"20220101","6호선","대흥(서강대앞)","2752","2770","20220104",""
"20220101","6호선","광흥창(서강)","2822","2715","20220104",""
"20220101","6호선","상수","4796","5142","20220104",""
"20220101","6호선","합정","6695","6122","20220104",""
"20220101","6호선","망원","7118","7554","20220104",""
"20220101","6호선","마포구청","5295","4801","20220104",""
"20220101","6호선","월드컵경기장(성산)","2867","2883","20220104",""
"20220101","6호선","디지털미디어시티","3843","3953","20220104",""
"20220101","6호선","증산(명지대앞)","4364","4537","20220104",""
"20220101","6호선","새절(신사)","4975","5010","20220104",""
"20220101","6호선","구산","2969","2258","20220104",""
"20220101","6호선","독바위","1225","1442","20220104",""
"20220101","6호선","불광","2301","2062","20220104",""
"20220101","6호선","역촌","1514","1880","20220104",""
"20220101","6호선","응암","7342","7591","20220104",""
"20220101","5호선","하남검단산","3509","3422","20220104",""
"20220101","5호선","하남시청(덕풍·신장)","3074","2964","20220104",""
"20220101","5호선","하남풍산","1684","1772","20220104",""
"20220101","5호선","미사","6848","6830","20220104",""
"20220101","5호선","강일","1527","1558","20220104",""
"20220101","5호선","마천","2732","2942","20220104",""
"20220101","5호선","거여","3095","3109","20220104",""
"20220101","5호선","개롱","2085","2304","20220104",""
"20220101","5호선","오금","1080","1041","20220104",""
"20220101","5호선","방이","2789","2757","20220104",""
"20220101","5호선","올림픽공원(한국체대)","2184","2150","20220104",""
"20220101","5호선","둔촌동","3208","3233","20220104",""
"20220101","5호선","상일동","4982","4848","20220104",""
"20220101","5호선","고덕","3515","3454","20220104",""
"20220101","5호선","명일","3191","3429","20220104",""
"20220101","5호선","굽은다리(강동구민회관앞)","4329","4090","20220104",""
"20220101","5호선","길동","3397","3534","20220104",""
"20220101","5호선","강동","6644","6329","20220104",""
"20220101","5호선","천호(풍납토성)","9009","8308","20220104",""
"20220101","5호선","광나루(장신대)","5727","5762","20220104",""
"20220101","5호선","아차산(어린이대공원후문)","9533","9281","20220104",""
"20220101","5호선","군자(능동)","4671","5286","20220104",""
"20220101","5호선","장한평","5610","5604","20220104",""
"20220101","5호선","답십리","5872","5566","20220104",""
"20220101","5호선","마장","2302","2166","20220104",""
"20220101","5호선","왕십리(성동구청)","2005","2381","20220104",""
"20220101","5호선","행당","2816","2563","20220104",""
"20220101","5호선","신금호","2302","2414","20220104",""
"20220101","5호선","청구","1437","1325","20220104",""
"20220101","5호선","동대문역사문화공원(DDP)","672","778","20220104",""
"20220101","5호선","을지로4가","1163","1289","20220104",""
"20220101","5호선","종로3가","7197","6625","20220104",""
"20220101","5호선","광화문(세종문화회관)","8245","7887","20220104",""
"20220101","5호선","서대문","3995","3793","20220104",""
"20220101","5호선","충정로(경기대입구)","1029","980","20220104",""
"20220101","5호선","애오개","1995","1911","20220104",""
"20220101","5호선","공덕","3249","3303","20220104",""
"20220101","5호선","마포","3732","3718","20220104",""
"20220101","5호선","여의나루","3296","3376","20220104",""
"20220101","5호선","여의도","4712","5120","20220104",""
"20220101","5호선","신길","1375","1483","20220104",""
"20220101","5호선","영등포시장","3730","3872","20220104",""
"20220101","5호선","영등포구청","986","907","20220104",""
"20220101","5호선","양평","1828","1869","20220104",""
"20220101","5호선","오목교(목동운동장앞)","7333","7737","20220104",""
"20220101","5호선","목동","5641","5864","20220104",""
"20220101","5호선","신정(은행정)","4971","4549","20220104",""
"20220101","5호선","까치산","12401","12296","20220104",""
"20220101","5호선","화곡","11204","10584","20220104",""
"20220101","5호선","우장산","4987","5287","20220104",""
"20220101","5호선","발산","7230","7644","20220104",""
"20220101","5호선","마곡","2606","2607","20220104",""
"20220101","5호선","송정","3160","2982","20220104",""
